Date,District,Block,Panchayat,Mouza,Type,Source,Hamlet,Lab,Code,Arsenic,TDS,Salinity,Fluoride,Iron,TC,FC,PH,Hardness 
28/6/2010,Murshidabad ,LALGOLA,PAIKAPARA,Paikpara ,PUBLIC,TW,Naresganj,West Bengal Voluntary Health Association (WBVHA),Primaryschool,0.0564,,,,4.98,0,0,7.88,355 
28/6/2010,Murshidabad ,LALGOLA,PAIKAPARA,Paikpara ,PUBLIC,TW,Naresganj,West Bengal Voluntary Health Association (WBVHA),Ataburrahman,0.215,,,,5.11,11,0,7.91,345 
28/6/2010,Murshidabad ,LALGOLA,PAIKAPARA,Paikpara ,PUBLIC,TW,Chuapukur,West Bengal Voluntary Health Association (WBVHA),Sagrikabibi,0.0056,,,,2.36,0,0,7.81,320 
28/6/2010,Murshidabad ,LALGOLA,PAIKAPARA,Paikpara ,PUBLIC,TW,Naresganj,West Bengal Voluntary Health Association (WBVHA),Nurhossainmondal,0.0961,,,,4.69,23,0,7.82,340 
28/6/2010,Murshidabad ,LALGOLA,PAIKAPARA,Paikpara ,PUBLIC,TW,Naresganj,West Bengal Voluntary Health Association (WBVHA),Nurbaktarsk,0.0802,,,,2.55,110,2,7.87,315 
23/6/2010,Murshidabad ,RAGHUNATHGANJ-II,MITIPUR,Rameshwarpur,PUBLIC,TW,Rameshwarpur,West Bengal Voluntary Health Association (WBVHA),Serajuddinsk,0.0539,,,,5.01,0,0,7.66,390 
23/6/2010,Murshidabad ,RAGHUNATHGANJ-II,MITIPUR,Rameshwarpur,PUBLIC,TW,Rameshwarpur,West Bengal Voluntary Health Association (WBVHA),Abdulrafiksk,0.0514,,,,3.75,0,0,7.7,365 
23/6/2010,Murshidabad ,RAGHUNATHGANJ-II,MITIPUR,Rameshwarpur,PUBLIC,TW,Rameshwarpur,West Bengal Voluntary Health Association (WBVHA),Talebsk,0.0523,,,,4.12,2,0,7.62,360 
23/6/2010,Murshidabad ,RAGHUNATHGANJ-II,MITIPUR,Mithipur,PUBLIC,TW,Kadamtala,West Bengal Voluntary Health Association (WBVHA),Sudebpandeyshop,0.0398,,,,4.72,9,0,7.65,330 
23/6/2010,Murshidabad ,RAGHUNATHGANJ-II,MITIPUR,Mithipur,PUBLIC,TW,Mithipur,West Bengal Voluntary Health Association (WBVHA),Rajaramdas,0.0492,,,,4.65,11,0,7.7,380 
